300,300,315,300
315,300,315,315
315,315,300,315
300,315,300,330
300,330,285,330
285,330,285,315
285,315,270,315
270,315,270,330
270,330,255,330
255,330,255,315
255,315,270,315
270,315,270,300
270,300,255,300
255,300,255,285
255,285,240,285
240,285,240,300
240,300,225,300
225,300,225,285
225,285,240,285
240,285,240,270
240,270,255,270
255,270,255,285
255,285,270,285
270,285,270,270
270,270,255,270
255,270,255,255
255,255,270,255
270,255,270,240
270,240,255,240
255,240,255,225
255,225,240,225
240,225,240,240
240,240,225,240
225,240,225,225
225,225,240,225
240,225,240,210
240,210,255,210
255,210,255,225
255,225,270,225
270,225,270,210
270,210,285,210
285,210,285,225
285,225,270,225
270,225,270,240
270,240,285,240
285,240,285,255
285,255,300,255
300,255,300,240
300,240,285,240
285,240,285,225
285,225,300,225
300,225,300,210
300,210,315,210
315,210,315,225
315,225,330,225
330,225,330,210
330,210,315,210
315,210,315,195
315,195,330,195
330,195,330,180
330,180,315,180
315,180,315,165
315,165,300,165
300,165,300,180
300,180,285,180
285,180,285,165
285,165,300,165
300,165,300,150
300,150,315,150
315,150,315,165
315,165,330,165
330,165,330,150
330,150,345,150
345,150,345,165
345,165,330,165
330,165,330,180
330,180,345,180
345,180,345,195
345,195,360,195
360,195,360,180
360,180,375,180
375,180,375,195
375,195,360,195
360,195,360,210
360,210,345,210
345,210,345,195
345,195,330,195
330,195,330,210
330,210,345,210
345,210,345,225
345,225,330,225
330,225,330,240
330,240,345,240
345,240,345,255
345,255,360,255
360,255,360,240
360,240,345,240
345,240,345,225
345,225,360,225
360,225,360,210
360,210,375,210
375,210,375,225
375,225,390,225
390,225,390,210
390,210,405,210
405,210,405,225
405,225,390,225
390,225,390,240
390,240,405,240
405,240,405,255
405,255,420,255
420,255,420,240
420,240,405,240
405,240,405,225
405,225,420,225
420,225,420,210
420,210,435,210
435,210,435,225
435,225,450,225
450,225,450,210
450,210,435,210
435,210,435,195
435,195,450,195
450,195,450,180
450,180,435,180
435,180,435,165
435,165,420,165
420,165,420,180
